Holder,Shares,Date Reported,% Out,Value,Ticker,Fetch_Date
Capital World Investors,3.89M,"Sep 30, 2024",1.65%,1748924490,LMT,2025-02-05
"FMR, LLC",3.39M,"Sep 30, 2024",1.44%,1524620660,LMT,2025-02-05
Bank of America Corporation,3.3M,"Sep 30, 2024",1.40%,1486443342,LMT,2025-02-05
"Wellington Management Group, LLP",3.07M,"Sep 30, 2024",1.31%,1383285003,LMT,2025-02-05
Capital World Investors,18.87M,"Sep 30, 2024",13.51%,1318152100,BG,2025-02-05
Vanguard Group Inc,17.33M,"Sep 30, 2024",12.41%,1211026294,BG,2025-02-05
Blackrock Inc.,14.63M,"Sep 30, 2024",10.48%,1022195065,BG,2025-02-05
State Street Corporation,7.05M,"Sep 30, 2024",5.05%,492695381,BG,2025-02-05
"Geode Capital Management, LLC",3.42M,"Sep 30, 2024",2.45%,239162783,BG,2025-02-05
"Pacer Advisors, Inc.",2.96M,"Dec 31, 2024",2.12%,206567798,BG,2025-02-05
"FMR, LLC",2.77M,"Sep 30, 2024",1.98%,193242750,BG,2025-02-05
Invesco Ltd.,2.49M,"Sep 30, 2024",1.79%,174191855,BG,2025-02-05
Dimensional Fund Advisors LP,2.3M,"Sep 30, 2024",1.65%,160929830,BG,2025-02-05
Northern Trust Corporation,2.26M,"Sep 30, 2024",1.62%,157631337,BG,2025-02-05
Vanguard Group Inc,58.85M,"Sep 30, 2024",9.71%,14387939657,UNP,2025-02-05
Blackrock Inc.,43.35M,"Sep 30, 2024",7.15%,10598733446,UNP,2025-02-05
State Street Corporation,24.79M,"Sep 30, 2024",4.09%,6060252523,UNP,2025-02-05
"Geode Capital Management, LLC",12.81M,"Sep 30, 2024",2.11%,3132689898,UNP,2025-02-05
Bank of America Corporation,11.86M,"Sep 30, 2024",1.96%,2900463729,UNP,2025-02-05
Capital International Investors,10.33M,"Sep 30, 2024",1.70%,2524763496,UNP,2025-02-05
Morgan Stanley,9.73M,"Sep 30, 2024",1.61%,2379466590,UNP,2025-02-05
Massachusetts Financial Services Co.,9.14M,"Sep 30, 2024",1.51%,2235671035,UNP,2025-02-05
Capital Research Global Investors,9.1M,"Sep 30, 2024",1.50%,2224079994,UNP,2025-02-05
"Ameriprise Financial, Inc.",8.88M,"Sep 30, 2024",1.47%,2171503348,UNP,2025-02-05
Primecap Management Company,21.92M,"Sep 30, 2024",0.92%,2175974535,BABA,2025-02-05
"Sanders Capital, LLC",18.46M,"Sep 30, 2024",0.78%,1832751864,BABA,2025-02-05
Dodge & Cox Inc,18.09M,"Sep 30, 2024",0.76%,1795634647,BABA,2025-02-05
JP Morgan Chase & Company,13.98M,"Sep 30, 2024",0.59%,1388351160,BABA,2025-02-05
FIL LTD,14.02M,"Sep 30, 2024",0.59%,1392223278,BABA,2025-02-05
Price (T.Rowe) Associates Inc,12.8M,"Sep 30, 2024",0.54%,1270675570,BABA,2025-02-05
Goldman Sachs Group Inc,10.14M,"Sep 30, 2024",0.43%,1007041107,BABA,2025-02-05
Appaloosa LP,10M,"Sep 30, 2024",0.42%,992799987,BABA,2025-02-05
Morgan Stanley,9.6M,"Sep 30, 2024",0.40%,953103674,BABA,2025-02-05
Temasek Holdings (Private) Limited,9.21M,"Sep 30, 2024",0.39%,914160002,BABA,2025-02-05
Vanguard Group Inc,132M,"Sep 30, 2024",9.40%,19226446223,PEP,2025-02-05
Blackrock Inc.,110.26M,"Sep 30, 2024",7.85%,16060034586,PEP,2025-02-05
State Street Corporation,57.27M,"Sep 30, 2024",4.08%,8341661459,PEP,2025-02-05
"Geode Capital Management, LLC",30.5M,"Sep 30, 2024",2.17%,4442232168,PEP,2025-02-05
Morgan Stanley,27.9M,"Sep 30, 2024",1.99%,4063339473,PEP,2025-02-05
Bank of America Corporation,27.04M,"Sep 30, 2024",1.93%,3938169025,PEP,2025-02-05
JP Morgan Chase & Company,25.08M,"Sep 30, 2024",1.79%,3653431685,PEP,2025-02-05
"Charles Schwab Investment Management, Inc.",21.36M,"Sep 30, 2024",1.52%,3111421489,PEP,2025-02-05
Norges Bank Investment Management,17.49M,"Jun 30, 2024",1.25%,2547770295,PEP,2025-02-05
Northern Trust Corporation,15.1M,"Sep 30, 2024",1.08%,2198967461,PEP,2025-02-05
Vanguard Group Inc,62.03M,"Sep 30, 2024",9.44%,1052058558,AAL,2025-02-05
Primecap Management Company,57.34M,"Sep 30, 2024",8.73%,972480682,AAL,2025-02-05
Blackrock Inc.,54.58M,"Sep 30, 2024",8.31%,925628600,AAL,2025-02-05
State Street Corporation,17.14M,"Sep 30, 2024",2.61%,290750097,AAL,2025-02-05
"Slate Path Capital, LP",16.15M,"Sep 30, 2024",2.46%,273954763,AAL,2025-02-05
"Geode Capital Management, LLC",11.44M,"Sep 30, 2024",1.74%,194093875,AAL,2025-02-05
Morgan Stanley,7.82M,"Sep 30, 2024",1.19%,132696542,AAL,2025-02-05
"U.S. Global Investors, Inc.",6.6M,"Dec 31, 2024",1.01%,112014586,AAL,2025-02-05
"Jane Street Group, LLC",5.43M,"Sep 30, 2024",0.83%,92135483,AAL,2025-02-05
Millennium Management Llc,5.25M,"Sep 30, 2024",0.80%,89124031,AAL,2025-02-05
Vanguard Group Inc,49.49M,"Sep 30, 2024",9.09%,7544927038,MMM,2025-02-05
Blackrock Inc.,40.4M,"Sep 30, 2024",7.42%,6158622533,MMM,2025-02-05
State Street Corporation,27.19M,"Sep 30, 2024",4.99%,4145818516,MMM,2025-02-05
JP Morgan Chase & Company,12.56M,"Sep 30, 2024",2.31%,1914141885,MMM,2025-02-05
"Geode Capital Management, LLC",11.29M,"Sep 30, 2024",2.07%,1721826062,MMM,2025-02-05
"FMR, LLC",8.96M,"Sep 30, 2024",1.65%,1366236444,MMM,2025-02-05
Morgan Stanley,8.8M,"Sep 30, 2024",1.62%,1341313613,MMM,2025-02-05
State Farm Mutual Automobile Insurance Co,8.18M,"Sep 30, 2024",1.50%,1246812300,MMM,2025-02-05
"Newport Trust Company, LLC",7.34M,"Sep 30, 2024",1.35%,1119384225,MMM,2025-02-05
Northern Trust Corporation,6M,"Sep 30, 2024",1.10%,914362914,MMM,2025-02-05
"Fisher Asset Management, LLC",50.95M,"Sep 30, 2024",0.88%,587508553,BBVA,2025-02-05
Harding Loevner LLC,18.53M,"Sep 30, 2024",0.32%,213692714,BBVA,2025-02-05
Morgan Stanley,13.23M,"Sep 30, 2024",0.23%,152586725,BBVA,2025-02-05
Dimensional Fund Advisors LP,11.32M,"Sep 30, 2024",0.20%,130497009,BBVA,2025-02-05
Goldman Sachs Group Inc,9.97M,"Sep 30, 2024",0.17%,115002338,BBVA,2025-02-05
"Arrowstreet Capital, Limited Partnership",7.49M,"Sep 30, 2024",0.13%,86404353,BBVA,2025-02-05
"ClearBridge Investments, LLC",6.26M,"Sep 30, 2024",0.11%,72185592,BBVA,2025-02-05
"FMR, LLC",6.37M,"Sep 30, 2024",0.11%,73450064,BBVA,2025-02-05
Blackrock Inc.,5.96M,"Sep 30, 2024",0.10%,68726108,BBVA,2025-02-05
"Clark Capital Management Group, Inc.",5.45M,"Sep 30, 2024",0.09%,62823348,BBVA,2025-02-05
Lazard Asset Management LLC,4.35M,"Sep 30, 2024",2.21%,128166273,TX,2025-02-05
"Donald Smith & Co., Inc.",2.54M,"Sep 30, 2024",1.29%,74871858,TX,2025-02-05
Ninety One UK Ltd,2.42M,"Dec 31, 2024",1.23%,71279956,TX,2025-02-05
Acadian Asset Management. LLC,1.78M,"Sep 30, 2024",0.91%,52476167,TX,2025-02-05
"Contrarian Capital Management, LLC",1.01M,"Sep 30, 2024",0.52%,29874058,TX,2025-02-05
Cape Ann Asset Management Ltd,863.68k,"Sep 30, 2024",0.44%,25461433,TX,2025-02-05
"Ninety One North America, Inc.",863.28k,"Dec 31, 2024",0.44%,25449611,TX,2025-02-05
Oaktree Capital Management LP,844.91k,"Sep 30, 2024",0.43%,24907916,TX,2025-02-05
Prudential PLC,778.63k,"Sep 30, 2024",0.40%,22954071,TX,2025-02-05
Schroder Investment Management Group,762.85k,"Sep 30, 2024",0.39%,22488876,TX,2025-02-05
Vanguard Group Inc,117.23M,"Sep 30, 2024",8.81%,15141002422,RTX,2025-02-05
State Street Corporation,111.99M,"Sep 30, 2024",8.41%,14464189020,RTX,2025-02-05
Blackrock Inc.,97.4M,"Sep 30, 2024",7.32%,12580220134,RTX,2025-02-05
Capital Research Global Investors,79.5M,"Sep 30, 2024",5.97%,10268065557,RTX,2025-02-05
Capital International Investors,63.68M,"Sep 30, 2024",4.78%,8224908516,RTX,2025-02-05
Dodge & Cox Inc,44.4M,"Sep 30, 2024",3.34%,5734564153,RTX,2025-02-05
Morgan Stanley,30.77M,"Sep 30, 2024",2.31%,3973753721,RTX,2025-02-05
"Geode Capital Management, LLC",27.26M,"Sep 30, 2024",2.05%,3521389924,RTX,2025-02-05
"Fisher Asset Management, LLC",18.47M,"Sep 30, 2024",1.39%,2385775262,RTX,2025-02-05
JP Morgan Chase & Company,17.22M,"Sep 30, 2024",1.29%,2223680490,RTX,2025-02-05
Vanguard Group Inc,61.09M,"Sep 30, 2024",12.49%,4361805601,SYY,2025-02-05
Blackrock Inc.,37.5M,"Sep 30, 2024",7.66%,2677348189,SYY,2025-02-05
State Street Corporation,27.29M,"Sep 30, 2024",5.58%,1948835338,SYY,2025-02-05
Invesco Ltd.,16.06M,"Sep 30, 2024",3.28%,1146405564,SYY,2025-02-05
Capital World Investors,13.5M,"Sep 30, 2024",2.76%,963874459,SYY,2025-02-05
"Geode Capital Management, LLC",11.64M,"Sep 30, 2024",2.38%,830744729,SYY,2025-02-05
"Parnassus Investments, LLC",8.39M,"Sep 30, 2024",1.72%,599286488,SYY,2025-02-05
"FMR, LLC",7.53M,"Sep 30, 2024",1.54%,537647866,SYY,2025-02-05
"Ameriprise Financial, Inc.",7.19M,"Sep 30, 2024",1.47%,513481107,SYY,2025-02-05
Capital Research Global Investors,7.06M,"Sep 30, 2024",1.44%,504332054,SYY,2025-02-05
"Nuveen Asset Management, LLC",14.71M,"Sep 30, 2024",11.26%,115476552,ARCO,2025-02-05
Price (T.Rowe) Associates Inc,9.61M,"Sep 30, 2024",7.36%,75452330,ARCO,2025-02-05
JP Morgan Chase & Company,9.21M,"Sep 30, 2024",7.05%,72298255,ARCO,2025-02-05
Invesco Ltd.,4.33M,"Sep 30, 2024",3.32%,34008797,ARCO,2025-02-05
Morgan Stanley,4.1M,"Sep 30, 2024",3.14%,32189584,ARCO,2025-02-05
"Private Management Group, Inc.",3.17M,"Dec 31, 2024",2.42%,24867677,ARCO,2025-02-05
"Moerus Capital Management, LLC",1.91M,"Sep 30, 2024",1.46%,15013454,ARCO,2025-02-05
Absolute Gestao De Investimentos Ltda.,1.79M,"Sep 30, 2024",1.37%,14072726,ARCO,2025-02-05
Perpetual Ltd.,1.77M,"Dec 31, 2024",1.35%,13863209,ARCO,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,1.67M,"Sep 30, 2024",1.28%,13142187,ARCO,2025-02-05
"Hotchkis & Wiley Capital Management, LLC",116.45M,"Sep 30, 2024",3.77%,884988608,ERIC,2025-02-05
Primecap Management Company,47.78M,"Sep 30, 2024",1.55%,363143187,ERIC,2025-02-05
Acadian Asset Management. LLC,41.87M,"Sep 30, 2024",1.36%,318236536,ERIC,2025-02-05
"Arrowstreet Capital, Limited Partnership",32.64M,"Sep 30, 2024",1.06%,248081720,ERIC,2025-02-05
Morgan Stanley,7.96M,"Sep 30, 2024",0.26%,60468988,ERIC,2025-02-05
Goldman Sachs Group Inc,5.36M,"Sep 30, 2024",0.17%,40711345,ERIC,2025-02-05
"Digitalbridge Group, Inc.",4.95M,"Sep 30, 2024",0.16%,37656129,ERIC,2025-02-05
New York State Common Retirement Fund,4.62M,"Dec 31, 2024",0.15%,35085961,ERIC,2025-02-05
Bank of America Corporation,3.64M,"Sep 30, 2024",0.12%,27646724,ERIC,2025-02-05
SEI Investments Co,3.1M,"Sep 30, 2024",0.10%,23583377,ERIC,2025-02-05
Blackrock Inc.,32.86M,"Sep 30, 2024",9.85%,4247482002,KMB,2025-02-05
Vanguard Group Inc,30.54M,"Sep 30, 2024",9.16%,3947134471,KMB,2025-02-05
State Street Corporation,19.3M,"Sep 30, 2024",5.79%,2495093183,KMB,2025-02-05
"Charles Schwab Investment Management, Inc.",10.06M,"Sep 30, 2024",3.02%,1300351162,KMB,2025-02-05
"Geode Capital Management, LLC",7.68M,"Sep 30, 2024",2.30%,992059150,KMB,2025-02-05
Price (T.Rowe) Associates Inc,7.11M,"Sep 30, 2024",2.13%,919224707,KMB,2025-02-05
Massachusetts Financial Services Co.,5.72M,"Sep 30, 2024",1.71%,739099064,KMB,2025-02-05
Morgan Stanley,5.08M,"Sep 30, 2024",1.52%,656139693,KMB,2025-02-05
Invesco Ltd.,4.64M,"Sep 30, 2024",1.39%,599540342,KMB,2025-02-05
Capital World Investors,4.18M,"Sep 30, 2024",1.25%,540093226,KMB,2025-02-05
Vanguard Group Inc,76.8M,"Sep 30, 2024",8.43%,43492110020,MA,2025-02-05
Blackrock Inc.,69.29M,"Sep 30, 2024",7.61%,39235426044,MA,2025-02-05
State Street Corporation,35.29M,"Sep 30, 2024",3.87%,19983757201,MA,2025-02-05
JP Morgan Chase & Company,29.72M,"Sep 30, 2024",3.26%,16831431553,MA,2025-02-05
Capital International Investors,21.57M,"Sep 30, 2024",2.37%,12213290346,MA,2025-02-05
"FMR, LLC",21.36M,"Sep 30, 2024",2.34%,12093168350,MA,2025-02-05
Price (T.Rowe) Associates Inc,19.19M,"Sep 30, 2024",2.11%,10864589218,MA,2025-02-05
"Geode Capital Management, LLC",18.38M,"Sep 30, 2024",2.02%,10405608359,MA,2025-02-05
Morgan Stanley,16.35M,"Sep 30, 2024",1.80%,9260944908,MA,2025-02-05
Capital Research Global Investors,12.18M,"Sep 30, 2024",1.34%,6898516764,MA,2025-02-05
Capital International Investors,63.82M,"Sep 30, 2024",2.09%,907466068,AMX,2025-02-05
Invesco Ltd.,22.68M,"Sep 30, 2024",0.74%,322478364,AMX,2025-02-05
"Westwood Global Investments, LLC",14.21M,"Sep 30, 2024",0.47%,202045072,AMX,2025-02-05
Lazard Asset Management LLC,12.52M,"Sep 30, 2024",0.41%,178010712,AMX,2025-02-05
"Allspring Global Investments Holdings, LLC",5.6M,"Dec 31, 2024",0.18%,79631546,AMX,2025-02-05
Dimensional Fund Advisors LP,4.32M,"Sep 30, 2024",0.14%,61378028,AMX,2025-02-05
"Itau Unibanco Holding, S.A.",4.2M,"Sep 30, 2024",0.14%,59769078,AMX,2025-02-05
First Trust Advisors LP,2.95M,"Sep 30, 2024",0.10%,41953992,AMX,2025-02-05
Bank of America Corporation,2.7M,"Sep 30, 2024",0.09%,38349506,AMX,2025-02-05
"Capital International, Inc./CA/",2.83M,"Sep 30, 2024",0.09%,40277325,AMX,2025-02-05
Morgan Stanley,43.24M,"Sep 30, 2024",0.95%,405154756,VALE,2025-02-05
Blackrock Inc.,38.87M,"Sep 30, 2024",0.86%,364227758,VALE,2025-02-05
"FMR, LLC",36.61M,"Sep 30, 2024",0.81%,342992012,VALE,2025-02-05
Price (T.Rowe) Associates Inc,28.22M,"Sep 30, 2024",0.62%,264419597,VALE,2025-02-05
Capital World Investors,27.8M,"Sep 30, 2024",0.61%,260452236,VALE,2025-02-05
Capital International Investors,27.23M,"Sep 30, 2024",0.60%,255132541,VALE,2025-02-05
Bank of America Corporation,18.82M,"Sep 30, 2024",0.41%,176339406,VALE,2025-02-05
GQG Partners LLC,18.29M,"Sep 30, 2024",0.40%,171400966,VALE,2025-02-05
Healthcare of Ontario Pension Plan Trust Fund,18.2M,"Sep 30, 2024",0.40%,170533997,VALE,2025-02-05
"Fisher Asset Management, LLC",17.4M,"Sep 30, 2024",0.38%,163084304,VALE,2025-02-05
Vanguard Group Inc,113.02M,"Sep 30, 2024",10.17%,19876175256,QCOM,2025-02-05
Blackrock Inc.,96.66M,"Sep 30, 2024",8.70%,16997965721,QCOM,2025-02-05
State Street Corporation,51.62M,"Sep 30, 2024",4.65%,9077177305,QCOM,2025-02-05
"Geode Capital Management, LLC",27.13M,"Sep 30, 2024",2.44%,4770812399,QCOM,2025-02-05
Morgan Stanley,18.89M,"Sep 30, 2024",1.70%,3321876881,QCOM,2025-02-05
Norges Bank Investment Management,18.26M,"Jun 30, 2024",1.64%,3210398524,QCOM,2025-02-05
Price (T.Rowe) Associates Inc,16.18M,"Sep 30, 2024",1.46%,2844893736,QCOM,2025-02-05
Bank of America Corporation,15.97M,"Sep 30, 2024",1.44%,2808584801,QCOM,2025-02-05
Alliancebernstein L.P.,14.48M,"Sep 30, 2024",1.30%,2546270969,QCOM,2025-02-05
"FMR, LLC",13.21M,"Sep 30, 2024",1.19%,2322767856,QCOM,2025-02-05
Blackrock Inc.,78.39M,"Sep 30, 2024",9.65%,14162410946,AMAT,2025-02-05
Vanguard Group Inc,76.55M,"Sep 30, 2024",9.42%,13830705526,AMAT,2025-02-05
State Street Corporation,38.81M,"Sep 30, 2024",4.78%,7011449780,AMAT,2025-02-05
Capital International Investors,20.88M,"Sep 30, 2024",2.57%,3772879900,AMAT,2025-02-05
"Geode Capital Management, LLC",19.83M,"Sep 30, 2024",2.44%,3582030773,AMAT,2025-02-05
"FMR, LLC",16.41M,"Sep 30, 2024",2.02%,2965356914,AMAT,2025-02-05
Capital World Investors,15.82M,"Sep 30, 2024",1.95%,2858978420,AMAT,2025-02-05
Morgan Stanley,10.7M,"Sep 30, 2024",1.32%,1933825354,AMAT,2025-02-05
Norges Bank Investment Management,10.73M,"Jun 30, 2024",1.32%,1938489711,AMAT,2025-02-05
UBS Asset Management Americas Inc,8.86M,"Sep 30, 2024",1.09%,1601085418,AMAT,2025-02-05
Vanguard Group Inc,69.64M,"Sep 30, 2024",9.72%,20114950939,MCD,2025-02-05
Blackrock Inc.,50.21M,"Sep 30, 2024",7.01%,14503320210,MCD,2025-02-05
State Street Corporation,34.57M,"Sep 30, 2024",4.82%,9985289924,MCD,2025-02-05
JP Morgan Chase & Company,26.36M,"Sep 30, 2024",3.68%,7613629498,MCD,2025-02-05
"Geode Capital Management, LLC",15.92M,"Sep 30, 2024",2.22%,4597301119,MCD,2025-02-05
Morgan Stanley,15.36M,"Sep 30, 2024",2.14%,4436684208,MCD,2025-02-05
"Wellington Management Group, LLP",15.08M,"Sep 30, 2024",2.10%,4356392071,MCD,2025-02-05
Bank of America Corporation,13.2M,"Sep 30, 2024",1.84%,3812755981,MCD,2025-02-05
Capital Research Global Investors,10.12M,"Sep 30, 2024",1.41%,2923356605,MCD,2025-02-05
Norges Bank Investment Management,9.14M,"Jun 30, 2024",1.28%,2641017495,MCD,2025-02-05
Vanguard Group Inc,40.45M,"Sep 30, 2024",9.93%,12465883212,ADP,2025-02-05
Blackrock Inc.,35.93M,"Sep 30, 2024",8.82%,11072394427,ADP,2025-02-05
State Street Corporation,18.33M,"Sep 30, 2024",4.50%,5649800715,ADP,2025-02-05
Morgan Stanley,11.31M,"Sep 30, 2024",2.78%,3485487970,ADP,2025-02-05
"Geode Capital Management, LLC",10.52M,"Sep 30, 2024",2.58%,3241011318,ADP,2025-02-05
Bank Of New York Mellon Corporation,8.09M,"Dec 31, 2024",1.99%,2493348220,ADP,2025-02-05
Wells Fargo & Company,7.9M,"Sep 30, 2024",1.94%,2434542724,ADP,2025-02-05
Alliancebernstein L.P.,7.56M,"Sep 30, 2024",1.86%,2331141145,ADP,2025-02-05
"Wellington Management Group, LLP",6.01M,"Sep 30, 2024",1.48%,1852174981,ADP,2025-02-05
Fundsmith LLP,5.57M,"Sep 30, 2024",1.37%,1716956298,ADP,2025-02-05
Vanguard Group Inc,136.44M,"Sep 30, 2024",9.74%,5567914618,SLB,2025-02-05
Blackrock Inc.,114.99M,"Sep 30, 2024",8.21%,4692661988,SLB,2025-02-05
State Street Corporation,90.21M,"Sep 30, 2024",6.44%,3681429985,SLB,2025-02-05
Capital World Investors,74.67M,"Sep 30, 2024",5.33%,3047349975,SLB,2025-02-05
Price (T.Rowe) Associates Inc,70.76M,"Sep 30, 2024",5.05%,2887730674,SLB,2025-02-05
"Geode Capital Management, LLC",28.61M,"Sep 30, 2024",2.04%,1167501742,SLB,2025-02-05
"First Eagle Investment Management, LLC",27.49M,"Sep 30, 2024",1.96%,1122001365,SLB,2025-02-05
Deutsche Bank Aktiengesellschaft,25.62M,"Sep 30, 2024",1.83%,1045477144,SLB,2025-02-05
Morgan Stanley,25.47M,"Sep 30, 2024",1.82%,1039467300,SLB,2025-02-05
Bank of America Corporation,23.34M,"Sep 30, 2024",1.67%,952325541,SLB,2025-02-05
Vanguard Group Inc,499.58M,"Sep 30, 2024",8.55%,95585160627,GOOGL,2025-02-05
Blackrock Inc.,425.6M,"Sep 30, 2024",7.28%,81430148462,GOOGL,2025-02-05
"FMR, LLC",226.32M,"Sep 30, 2024",3.87%,43301043373,GOOGL,2025-02-05
State Street Corporation,222.56M,"Sep 30, 2024",3.81%,42581553406,GOOGL,2025-02-05
"Geode Capital Management, LLC",134.03M,"Sep 30, 2024",2.29%,25644090058,GOOGL,2025-02-05
Morgan Stanley,123.13M,"Sep 30, 2024",2.11%,23557866175,GOOGL,2025-02-05
Norges Bank Investment Management,107.48M,"Jun 30, 2024",1.84%,20564506766,GOOGL,2025-02-05
Price (T.Rowe) Associates Inc,91.06M,"Sep 30, 2024",1.56%,17423219801,GOOGL,2025-02-05
Bank of America Corporation,73.54M,"Sep 30, 2024",1.26%,14069593077,GOOGL,2025-02-05
JP Morgan Chase & Company,63.67M,"Sep 30, 2024",1.09%,12181485097,GOOGL,2025-02-05
Vanguard Group Inc,94.89M,"Sep 30, 2024",9.55%,39266518094,HD,2025-02-05
Blackrock Inc.,69.76M,"Sep 30, 2024",7.02%,28868267033,HD,2025-02-05
State Street Corporation,45.12M,"Sep 30, 2024",4.54%,18671717223,HD,2025-02-05
Capital World Investors,23.8M,"Sep 30, 2024",2.40%,9849356478,HD,2025-02-05
"Geode Capital Management, LLC",21.7M,"Sep 30, 2024",2.18%,8980070860,HD,2025-02-05
Morgan Stanley,21.59M,"Sep 30, 2024",2.17%,8934958685,HD,2025-02-05
Bank of America Corporation,15.71M,"Sep 30, 2024",1.58%,6500714220,HD,2025-02-05
"Charles Schwab Investment Management, Inc.",13.61M,"Sep 30, 2024",1.37%,5630980020,HD,2025-02-05
Norges Bank Investment Management,12.02M,"Jun 30, 2024",1.21%,4975109242,HD,2025-02-05
Capital Research Global Investors,11.81M,"Sep 30, 2024",1.19%,4886399061,HD,2025-02-05
Vanguard Group Inc,167.91M,"Sep 30, 2024",9.68%,22173684042,ABT,2025-02-05
Blackrock Inc.,131.03M,"Sep 30, 2024",7.55%,17303529759,ABT,2025-02-05
State Street Corporation,76.72M,"Sep 30, 2024",4.42%,10131699666,ABT,2025-02-05
Capital International Investors,65.74M,"Sep 30, 2024",3.79%,8682142839,ABT,2025-02-05
Capital Research Global Investors,53.3M,"Sep 30, 2024",3.07%,7039053009,ABT,2025-02-05
"Geode Capital Management, LLC",34.9M,"Sep 30, 2024",2.01%,4609316242,ABT,2025-02-05
Morgan Stanley,34.51M,"Sep 30, 2024",1.99%,4557841500,ABT,2025-02-05
JP Morgan Chase & Company,28.92M,"Sep 30, 2024",1.67%,3818912990,ABT,2025-02-05
"Wellington Management Group, LLP",25.81M,"Sep 30, 2024",1.49%,3408597559,ABT,2025-02-05
Norges Bank Investment Management,20.36M,"Jun 30, 2024",1.17%,2688336390,ABT,2025-02-05
Price (T.Rowe) Associates Inc,62.89M,"Sep 30, 2024",2.40%,4461285150,AZN,2025-02-05
Primecap Management Company,41.98M,"Sep 30, 2024",1.60%,2977854389,AZN,2025-02-05
"Wellington Management Group, LLP",37.25M,"Sep 30, 2024",1.42%,2642121741,AZN,2025-02-05
Capital International Investors,36.82M,"Sep 30, 2024",1.40%,2611908256,AZN,2025-02-05
"FMR, LLC",23.12M,"Sep 30, 2024",0.88%,1639836046,AZN,2025-02-05
"Franklin Resources, Inc.",19.12M,"Sep 30, 2024",0.73%,1356466904,AZN,2025-02-05
Jennison Associates LLC,15.43M,"Dec 31, 2024",0.59%,1094595322,AZN,2025-02-05
"Sanders Capital, LLC",14.97M,"Sep 30, 2024",0.57%,1062208389,AZN,2025-02-05
Morgan Stanley,12.82M,"Sep 30, 2024",0.49%,909735030,AZN,2025-02-05
Goldman Sachs Group Inc,12.05M,"Sep 30, 2024",0.46%,854503197,AZN,2025-02-05
Alibaba Group Holding Ltd,9M,"Sep 30, 2024",6.06%,91980002,WB,2025-02-05
Acadian Asset Management. LLC,6.05M,"Sep 30, 2024",4.08%,61848600,WB,2025-02-05
"Federated Hermes, Inc.",4.35M,"Sep 30, 2024",2.93%,44453843,WB,2025-02-05
Blackrock Inc.,4.14M,"Sep 30, 2024",2.79%,42307745,WB,2025-02-05
Krane Funds Advisors LLC,3.59M,"Sep 30, 2024",2.42%,36715269,WB,2025-02-05
Morgan Stanley,2.81M,"Sep 30, 2024",1.89%,28733888,WB,2025-02-05
Vanguard Group Inc,2.76M,"Sep 30, 2024",1.86%,28199781,WB,2025-02-05
Goldman Sachs Group Inc,2.39M,"Sep 30, 2024",1.61%,24424083,WB,2025-02-05
"Saba Capital Management, L.P.",2.23M,"Sep 30, 2024",1.50%,22772225,WB,2025-02-05
"Two Sigma Investments, LP",2.05M,"Sep 30, 2024",1.38%,20984082,WB,2025-02-05
Primecap Management Company,106.35M,"Sep 30, 2024",1.73%,2437647783,SONY,2025-02-05
"Aristotle Capital Management, LLC",53.44M,"Sep 30, 2024",0.87%,1224849388,SONY,2025-02-05
"Fisher Asset Management, LLC",43.18M,"Sep 30, 2024",0.70%,989726286,SONY,2025-02-05
Harding Loevner LLC,26.02M,"Sep 30, 2024",0.42%,596485438,SONY,2025-02-05
Bank of America Corporation,24.92M,"Sep 30, 2024",0.41%,571059594,SONY,2025-02-05
Blackrock Inc.,24.04M,"Sep 30, 2024",0.39%,550992103,SONY,2025-02-05
Morgan Stanley,22.16M,"Sep 30, 2024",0.36%,507987536,SONY,2025-02-05
Mondrian Investment Partners Ltd,11.06M,"Sep 30, 2024",0.18%,253549750,SONY,2025-02-05
"Fiduciary Management, Inc.",10.81M,"Sep 30, 2024",0.18%,247847942,SONY,2025-02-05
Goldman Sachs Group Inc,7.35M,"Sep 30, 2024",0.12%,168391750,SONY,2025-02-05
Solel Partners LP,4.58M,"Sep 30, 2024",7.30%,30544358,BIOX,2025-02-05
Fourth Sail Capital LP,3.17M,"Sep 30, 2024",5.06%,21151250,BIOX,2025-02-05
Polar Capital Holdings PLC,1.65M,"Sep 30, 2024",2.63%,10997842,BIOX,2025-02-05
Ardsley Advisory Partners,1.58M,"Sep 30, 2024",2.52%,10534518,BIOX,2025-02-05
"Ballast Asset Management, LP",349.7k,"Sep 30, 2024",0.56%,2332499,BIOX,2025-02-05
"Long Focus Capital Management, LLC",322.82k,"Sep 30, 2024",0.51%,2153189,BIOX,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,320.13k,"Sep 30, 2024",0.51%,2135260,BIOX,2025-02-05
Royce & Associates LP,229.15k,"Sep 30, 2024",0.37%,1528410,BIOX,2025-02-05
"Wellington Management Group, LLP",214.37k,"Sep 30, 2024",0.34%,1429867,BIOX,2025-02-05
"PNC Financial Services Group, Inc.",150k,"Sep 30, 2024",0.24%,1000500,BIOX,2025-02-05
Vanguard Group Inc,636.64M,"Sep 30, 2024",8.87%,15578560835,T,2025-02-05
Blackrock Inc.,553.98M,"Sep 30, 2024",7.72%,13555854640,T,2025-02-05
State Street Corporation,316.08M,"Sep 30, 2024",4.41%,7734585858,T,2025-02-05
